municLabel,parishLabel,lon,lat
Lisboa,Lisboa,-9.1333333,38.7166667
Cantanhede,Vilamar,-8.658611111,40.41722222
Sepins e Bolho,Sepins,-8.496111111,40.38694444
Cantanhede,Cordinhã,-8.53483,40.335
Cantanhede,Cordinhã,-8.535833333,40.33916667
Arganil,Pomares,-7.86869,40.25153
Arganil,Pomares,-7.896111111,40.27111111
Arganil,Cerdeira,-7.938333333,40.25666667
Cantanhede,Ourentã,-8.552222222,40.36138889
Cantanhede,São Caetano,-8.678888888,40.38166667
Arganil,Cepos,-7.974722222,40.16055556
Arganil,Secarias,-8.033333333,40.24111111
Arganil,Secarias,-8.03124,40.24508
Cantanhede,Covões,-8.610833333,40.43
Arganil,São Martinho da Cortiça,-8.15066,40.26817
Arganil,São Martinho da Cortiça,-8.151388888,40.27222222
Cantanhede,Corticeiro de Cima,-8.675277777,40.4275
Cantanhede,Bolho,-8.52422,40.40773
Arganil,Folques,-8.008888888,40.22388889
Cantanhede,Febres,-8.633333333,40.4
Arganil,Piódão,-7.825,40.229444
Arganil,Pombeiro da Beira,-8.1375,40.22527778
Arganil,Pombeiro da Beira,-8.13461,40.22597
Cantanhede,Sanguinheira,-8.712222222,40.32027778
Arganil,Moura da Serra,-7.895833333,40.22277778
Cantanhede,Ançã,-8.519722222,40.27361111
Cantanhede,Portunhos,-8.546388888,40.29583333
Cantanhede,Outil,-8.589444444,40.31
Arganil,Teixeira,-7.947777777,40.18416667
Arganil,Coja,-7.986111111,40.26722222
Arganil,Celavisa,-8.0564,40.189864
Cantanhede e Pocariça,Pocariça,-8.585555555,40.36666667
Arganil,Sarzedo,-8.069444444,40.24111111
Cantanhede,Cadima,-8.64,40.32583333
Arganil,Anceriz,-7.919722222,40.27916667
Arganil,Benfeita,-7.944444444,40.22944444
Cantanhede,Murtede,-8.51013,40.34226
Cantanhede,Murtede,-8.503888888,40.35972222
Arganil,Barril de Alva,-7.967458333,40.29302778
Cantanhede,Camarneira,-8.598888888,40.41805556
Vila Cova de Alva e Anseriz,Vila Cova de Alva,-7.939722222,40.28333333
Celorico da Beira,Baraçal,-7.328055555,40.68194444
Açores e Velosa,Açores,-7.305277777,40.645
Almeida,Peva,-6.990833333,40.66472222
Almeida,Mido,-6.930277777,40.625
Celorico da Beira,São Pedro,-7.38986,40.62959
Celorico da Beira,São Pedro,-7.381388888,40.63222222
Almeida,Monte Perobolço,-6.981111111,40.55472222
Almeida,Monte Perobolço,-6.9756,40.55465
"Algodres, Vale de Afonsinho e Vilar de Amargo",Algodres,-7.054722222,40.9525
Almeida,Naves,-6.88514,40.6574
Almeida,Naves,-6.8775,40.66111111
Almeida,Amoreira,-7.015555555,40.58805556
Malpartida e Vale de Coelha,Vale de Coelha,-6.830277777,40.7275
Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego,Forno Telheiro,-7.397777777,40.67333333
"Leomil, Mido, Senouras e Aldeia Nova",Leomil,-6.964166666,40.63527778
Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego,Vila Boa do Mondego,-7.437777777,40.62694444
Figueira de Castelo Rodrigo,Quintã de Pêro Martins,-7.083055555,40.88194444
Malpartida e Vale de Coelha,Malpartida,-6.866666666,40.76
Figueira de Castelo Rodrigo,Vermiosa,-6.87161,40.82052
Figueira de Castelo Rodrigo,Vermiosa,-6.8775,40.82722222
Almeida,Malhada Sorda,-6.914444444,40.53638889
Celorico da Beira,Velosa,-7.29,40.6525
Celorico da Beira,Santa Maria,-7.425,40.65305556
Celorico da Beira,Santa Maria,-7.42084,40.65352
Almofala e Escarigo,Almofala,-6.848611111,40.86027778
Celorico da Beira,Cadafaz,-7.361944444,40.58472222
Celorico da Beira,Ratoeira,-7.353611111,40.64027778
Celorico da Beira,Minhocal,-7.346666666,40.68944444
Celorico da Beira,Vale de Azares,-7.36421,40.60492
Almeida,Porto de Ovelha,-6.961388888,40.52472222
Celorico da Beira,Vide Entre Vinhas,-7.40611,40.59267
Celorico da Beira,Vide Entre Vinhas,-7.404166666,40.59722222
Colmeal e Vilar Torpim,Vilar Torpim,-6.951944444,40.82555556
Colmeal e Vilar Torpim,Vilar Torpim,-6.94955,40.83395
Almeida,São Pedro de Rio Seco,-6.839166666,40.66194444
Almeida,Cabreira,-7.02544,40.56427
Almeida,Cabreira,-7.026944444,40.56944444
Almeida,Parada,-7.037777777,40.53972222
Almeida,Parada,-7.01688,40.53897
Almeida,Vale da Mula,-6.823611111,40.70361111
Almeida,Miuzela,-7.005,40.51055556
Almeida,Nave de Haver,-6.834166666,40.52166667
Figueira de Castelo Rodrigo,Vale de Afonsinho,-7.062222222,40.9025
Figueira de Castelo Rodrigo,Vale de Afonsinho,-7.07599,40.90985
Almeida,Freixo,-7.010277777,40.61861111
Almeida,Vale Verde,-6.979722222,40.7025
Almeida,Freineda,-6.891111111,40.58305556
Celorico da Beira,Linhares (Celorico da Beira),-7.461111111,40.54083333
Celorico da Beira,Lajeosa do Mondego,-7.3375,40.6275
Celorico da Beira,Carrapichana,-7.48972,40.5614
Celorico da Beira,Carrapichana,-7.486944444,40.56194444
Cinco Vilas e Reigada,Reigada,-6.94241,40.7894
Cinco Vilas e Reigada,Reigada,-6.948055555,40.80444444
Colmeal e Vilar Torpim,Povoação do Colmeal,-7.015113,40.855502
Almofala e Escarigo,Escarigo,-6.831388888,40.84222222
Almeida,Azinhal,-6.983333333,40.67916667
Almeida,Castelo Bom,-6.900555555,40.62027778
Almeida,Castelo Bom,-6.8881,40.6197
Celorico da Beira,Maçal do Chão,-7.301111111,40.69277778
Celorico da Beira,Maçal do Chão,-7.29178,40.69171
Vila Seca e Santo Adrião,Santo Adrião,-7.6375,41.12555556
Lamego,Cepões,-7.80441,41.06289
Lamego,Cepões,-7.797777777,41.0725
Cinfães,Ferreiros de Tendais,-8.043888888,41.04805556
Armamar,São Cosmado,-7.644166666,41.06361111
Cinfães,Travanca,-8.223333333,41.03638889
Carregal do Sal,Currelos,-8.001944444,40.42222222
Lamego,Ferreirim,-7.77667,41.04581
Picão e Ermida,Ermida,-7.960277777,40.95722222
Picão e Ermida,Ermida,-7.93155,40.93996
Armamar,São Martinho das Chãs,-7.659166666,41.07361111
"Bigorne, Magueija e Pretarouca",Magueija,-7.874722222,41.04555556
Lamego,Várzea de Abrunhais,-7.768611111,41.08027778
Castro Daire,Picão,-7.9475,40.94638889
Castro Daire,Picão,-7.9512,40.9495
