property_id,date_id,host_id,location_id,price_per_night
1,28012020,1,1194,50
1,29012020,1,1194,50
1,30012020,1,1194,50
1,31012020,1,1194,50
1,1022020,1,1194,50
1,2022020,1,1194,50
1,3022020,1,1194,50
1,4022020,1,1194,50
1,28022020,1,1194,50
1,29022020,1,1194,50
1,1032020,1,1194,50
1,2032020,1,1194,50
1,3032020,1,1194,50
1,4032020,1,1194,50
1,5032020,1,1194,50
1,11032020,1,1194,50
1,12032020,1,1194,50
1,13032020,1,1194,50
1,14032020,1,1194,50
1,15032020,1,1194,50
1,16032020,1,1194,60
1,17032020,1,1194,60
1,23052020,1,1194,65
1,24052020,1,1194,65
1,25052020,1,1194,65
1,26052020,1,1194,65
1,27052020,1,1194,65
1,28052020,1,1194,65
1,29052020,1,1194,65
1,30052020,1,1194,65
1,31052020,1,1194,65
1,1062020,1,1194,65
1,2062020,1,1194,65
1,25062020,1,1194,65
1,26062020,1,1194,65
1,27062020,1,1194,65
2,1022020,2,537,38
2,2022020,2,537,38
2,3022020,2,537,38
2,4022020,2,537,38
2,5022020,2,537,38
2,6022020,2,537,38
2,7022020,2,537,38
2,8022020,2,537,38
2,9022020,2,537,38
2,10022020,2,537,38
2,11022020,2,537,38
2,12022020,2,537,38
2,13022020,2,537,38
2,14022020,2,537,40
2,15022020,2,537,40
2,16022020,2,537,39
2,17022020,2,537,38
2,18022020,2,537,38
2,19022020,2,537,38
2,20022020,2,537,39
2,21022020,2,537,45
2,22022020,2,537,46
2,23022020,2,537,44
2,24022020,2,537,43
2,25022020,2,537,39
2,26022020,2,537,38
2,27022020,2,537,44
2,28022020,2,537,46
2,29022020,2,537,47
2,1032020,2,537,46
2,2032020,2,537,43
2,3032020,2,537,40
2,4032020,2,537,45
2,5032020,2,537,47
2,23032020,2,537,46
2,24032020,2,537,45
2,25032020,2,537,44
2,26032020,2,537,45
2,27032020,2,537,47
2,5042020,2,537,60
2,6042020,2,537,60
2,7042020,2,537,60
2,8042020,2,537,60
2,9042020,2,537,60
2,10042020,2,537,60
1,8022020,3,1745,49
1,9022020,3,1745,55
1,10022020,3,1745,47
1,11022020,3,1745,47
1,12022020,3,1745,47
1,15022020,3,1745,47
1,16022020,3,1745,47
1,17022020,3,1745,47
1,18022020,3,1745,47
1,20022020,3,1745,47
1,21022020,3,1745,47
1,22022020,3,1745,47
1,1042020,3,1745,60
1,2042020,3,1745,60
1,3042020,3,1745,60
1,4042020,3,1745,60
1,5042020,3,1745,60
1,6042020,3,1745,60
1,7042020,3,1745,60
1,8042020,3,1745,60
1,9042020,3,1745,60
1,10042020,3,1745,60
1,11042020,3,1745,60
1,12042020,3,1745,60
1,13042020,3,1745,60
1,14042020,3,1745,60
1,15042020,3,1745,60
1,16042020,3,1745,60
1,17042020,3,1745,60
1,18042020,3,1745,60
1,19042020,3,1745,60
1,24042020,3,1745,60
1,25042020,3,1745,60
1,26042020,3,1745,60
1,27042020,3,1745,60
1,28042020,3,1745,60
1,29042020,3,1745,60
1,30042020,3,1745,60
1,3052020,3,1745,60
1,4052020,3,1745,60
1,5052020,3,1745,60
1,6052020,3,1745,60
1,7052020,3,1745,60
1,8052020,3,1745,60
1,9052020,3,1745,60
1,10052020,3,1745,60
1,11052020,3,1745,60
1,12052020,3,1745,60
1,13052020,3,1745,61
1,14052020,3,1745,61
1,15052020,3,1745,61
1,16052020,3,1745,61
1,17052020,3,1745,61
1,18052020,3,1745,61
1,19052020,3,1745,61
1,20052020,3,1745,60
1,21052020,3,1745,60
1,22052020,3,1745,60
1,3062020,3,1745,60
1,4062020,3,1745,60
1,12062020,3,1745,85
1,16062020,3,1745,60
1,17062020,3,1745,60
1,18062020,3,1745,60
1,19062020,3,1745,60
1,20062020,3,1745,68
1,2072020,3,1745,77
1,3072020,3,1745,77
1,4072020,3,1745,77
1,12082020,3,1745,77
1,13082020,3,1745,77
1,14082020,3,1745,77
1,15082020,3,1745,77
1,17082020,3,1745,77
1,18082020,3,1745,77
1,19082020,3,1745,77
1,20082020,3,1745,77
1,21082020,3,1745,77
1,22082020,3,1745,77
1,23082020,3,1745,77
1,7092020,3,1745,60
1,8092020,3,1745,60
1,9092020,3,1745,60
1,10092020,3,1745,60
1,12092020,3,1745,60
1,13092020,3,1745,60
1,14092020,3,1745,60
1,15092020,3,1745,60
1,16092020,3,1745,60
1,17092020,3,1745,60
1,1102020,3,1745,60
1,2102020,3,1745,60
1,3102020,3,1745,60
3,6022020,4,1592,850
3,7022020,4,1592,1200
3,8022020,4,1592,1200
3,11022020,4,1592,850
3,12022020,4,1592,850
3,13022020,4,1592,850
3,14022020,4,1592,1200
3,15022020,4,1592,1200
3,8032020,4,1592,850
3,9032020,4,1592,850
3,10032020,4,1592,850
3,13032020,4,1592,1200
3,14032020,4,1592,1200
3,17032020,4,1592,850
3,18032020,4,1592,850
3,19032020,4,1592,850
3,20032020,4,1592,1200
3,21032020,4,1592,1200
3,22032020,4,1592,850
3,23032020,4,1592,850
3,24032020,4,1592,850
3,27032020,4,1592,1200
3,28032020,4,1592,1200
3,3042020,4,1592,1200
3,4042020,4,1592,1200
3,10042020,4,1592,1300
3,11042020,4,1592,1300
