,listing_id,host_id
0,25659,1
1,29248,2
2,29248,919
3,4460918,2
4,4460918,919
5,4464812,2
6,4464812,919
7,33294948,2
8,33294948,919
9,29396,3
10,29396,383
11,29396,1467
12,1148064,3
13,1148064,383
14,1148064,1467
15,8180702,3
16,8180702,383
17,8180702,1467
18,14166774,3
19,14166774,383
20,14166774,1467
21,16617549,3
22,16617549,383
23,16617549,1467
24,29720,4
25,27899698,4
26,29915,5
27,40817,6
28,555321,6
29,757653,6
30,943517,6
31,1108205,6
32,1114715,6
33,1201873,6
34,943550,6
35,1097028,6
36,1103607,6
37,34954675,6
38,35720324,6
39,36271849,6
40,36329096,6
41,36449807,6
42,42519,7
43,851559,7
44,2368850,7
45,5453554,7
46,16037005,7
47,28535390,7
48,1491569,8
49,2561894,8
50,1345185,8
51,1496508,8
52,1496856,8
53,3090804,8
54,2561759,8
55,4028893,8
56,4302085,8
57,32296870,8
58,32297564,8
59,35330876,8
60,48025,9
61,48854,10
62,49366,11
63,50108,12
64,10557412,12
65,37067918,13
66,35673248,13
67,38337859,13
68,39430985,13
69,37067909,13
70,24846146,13
71,20023457,13
72,39431006,13
73,40524995,13
74,39430940,13
75,33764976,13
76,20024535,13
77,35367022,13
78,23320353,13
79,24644144,13
80,24074722,13
81,24027490,13
82,24950738,13
83,25310808,13
84,25310817,13
85,30002278,13
86,27792401,13
87,37488653,13
88,38889108,13
89,27947519,13
90,39878011,13
91,28800937,13
92,28953215,13
93,28953829,13
94,30493529,13
95,39269518,13
96,30523810,13
97,40935881,13
98,38340109,13
99,34198760,13
100,35697841,13
101,41444326,13
102,39933668,13
103,37487613,13
104,41708256,13
105,37904594,13
106,41258807,13
107,41258814,13
108,41258883,13
109,41258946,13
110,41259165,13
111,39715200,13
112,39271078,13
113,39942380,13
114,40394747,13
115,41259037,13
116,41369896,13
117,41635583,13
118,41637217,13
119,56906,14
120,56906,892
121,951717,14
122,951717,892
123,1503219,14
124,1503219,892
125,1892459,14
126,1892459,892
127,4246327,14
128,4246327,892
129,5102729,14
130,5102729,892
131,8731433,14
132,8731433,892
133,9691654,14
134,9691654,892
135,13634356,14
136,13634356,892
137,18733843,14
138,18733843,892
139,9696917,14
140,9696917,892
141,16730453,14
142,16730453,892
143,17185541,14
144,17185541,892
145,17915214,14
146,17915214,892
147,12878478,14
148,12878478,892
149,17197124,14
