,ID,Property
1,25659,1
2,29248,2
3,29396,1
4,29720,3
5,27899698,4
6,29915,5
7,40817,6
8,555321,1
9,757653,6
10,943517,7
11,1108205,8
12,1114715,9
13,1201873,10
14,42519,11
15,1491569,6
16,48025,12
17,48854,13
18,49366,6
19,50108,14
20,37067918,2
21,56906,15
22,65878,16
23,83700,17
24,83933,1
25,84599,7
26,85270,18
27,89015,19
28,103252,1
29,108058,20
30,18104380,20
31,119120,10
32,122998,1
33,125848,1
34,133734,21
35,134438,6
36,135261,10
37,138929,22
38,140080,23
39,404192,24
40,141883,15
41,144851,1
42,145101,25
43,147738,26
44,147932,27
45,148344,28
46,149589,1
47,150895,6
48,150945,29
49,151327,2
50,151909,30
51,18632048,30
52,19985004,30
53,21108570,31
54,161268,32
55,162349,1
56,162359,33
57,172014,34
58,172455,35
59,172638,6
60,174064,36
61,178515,37
62,2561894,4
63,5753854,37
64,178524,38
65,186996,6
66,187442,10
67,196195,7
68,198480,22
69,201878,32
70,208683,4
71,211616,39
72,212549,6
73,217187,6
74,500840,6
75,217281,20
76,218584,40
77,220830,41
78,220831,42
79,528892,43
80,744453,44
81,744454,45
82,227224,46
83,229846,1
84,231329,47
85,231468,48
86,239018,20
87,4469724,20
88,239335,6
89,244494,49
90,250288,50
91,250491,6
92,250526,2
93,256917,26
94,257480,6
95,261733,40
96,263399,18
97,271430,10
98,272438,1
99,276492,6
100,277126,6
101,41733418,2
102,279549,51
103,279804,16
104,281407,51
105,3666340,51
106,26921196,20
107,286672,18
108,287007,1
109,287874,3
110,291676,33
111,404177,23
112,291999,27
113,295749,52
114,297857,1
115,29357199,1
116,299321,6
117,300875,2
118,300914,53
119,301264,7
120,303692,54
121,301755,27
122,301871,1
123,304025,55
124,403131,55
125,304028,23
126,403167,33
127,24465544,3
128,306191,2
129,307683,15
130,30925117,15
131,308287,27
132,320603,49
133,321426,26
134,322284,49
135,324364,56
136,13680839,20
137,23531194,57
138,23534691,58
139,23560628,59
140,23561166,60
141,327945,61
142,333311,1
143,335344,7
144,336832,62
145,344035,54
146,347518,63
147,347530,63
148,348764,6
149,349459,6
150,364652,6
151,366081,7
152,369360,20
153,393699,64
154,393700,65
155,2019189,65
156,15450919,20
157,387461,7
158,392912,6
159,395874,66
160,397178,32
161,403260,7
162,403760,1
163,405399,10
164,540190,67
165,1574562,40
166,5671689,6
167,416929,68
168,1961961,68
169,417448,2
170,418691,10
171,420279,69
172,3292356,70
173,21923674,71
174,21923685,72
175,424175,73
176,6965046,57
177,424664,74
178,427653,75
179,428021,1
180,436190,70
181,19485703,76
182,438431,2
183,439435,20
184,439888,2
185,444996,30
186,447832,6
187,449080,16
188,450707,6
189,451351,33
190,453093,77
191,453233,6
192,453651,5
193,454217,1
194,454267,1
195,25077128,2
196,454298,78
197,454306,16
198,454328,78
199,465071,27
200,467348,9
201,471483,2
202,472183,2
203,474818,2
204,478989,23
205,483897,7
206,484157,6
207,486291,7
208,487394,6
209,487633,6
210,488241,27
211,488694,40
212,489178,1
213,493274,6
214,495237,26
215,496195,10
216,496725,79
217,31709913,30
218,496935,27
219,497424,2
220,500107,2
221,28729322,1
222,505847,32
223,506047,2
224,512669,80
225,519119,1
226,521384,1
227,525775,6
228,526914,30
229,527835,6
230,528641,33
231,531992,81
232,35887427,82
233,535226,23
234,536424,83
235,536725,7
236,537107,33
237,538390,2
238,540975,84
239,542661,23
240,1735820,23
241,2394254,85
242,8078043,86
243,16436967,20
244,28729236,20
245,543049,55
246,543783,10
247,547234,20
248,2592698,84
249,26909142,84
250,28220464,84
251,547502,32
252,550074,27
253,553492,9
254,554957,87
255,555172,6
256,555230,88
257,557764,2
258,564050,2
259,564265,42
260,565581,89
261,568655,54
262,575709,33
263,578080,90
264,578827,4
265,579469,91
266,579988,92
267,585175,6
268,585285,1
269,593624,23
270,594877,1
271,595602,93
272,600565,2
273,604554,2
274,607083,32
275,1051719,92
276,607621,13
277,608322,6
278,608573,2
279,608769,6
280,41145756,20
281,610528,22
282,610771,2
283,613104,94
284,617562,20
285,619755,2
286,622084,2
287,625871,95
288,627114,6
289,629165,96
290,632742,9
291,632865,6
292,635040,97
293,38121901,6
294,638748,22
295,638749,9
296,640801,9
297,641703,30
298,642161,40
299,642175,49
300,643201,98
301,643412,33
302,31928859,33
303,643914,33
304,646461,7
305,646676,13
306,665039,99
307,648136,7
308,649826,1
309,650820,54
310,654182,10
311,656673,100
312,656771,1
313,660530,1
314,662288,101
315,664910,1
316,669690,6
317,674051,7
318,675464,102
319,675927,6
320,677562,27
321,678817,1
322,678990,20
323,679226,54
324,681723,16
325,684995,55
326,686095,40
327,686195,95
328,688279,33
329,688656,2
330,693505,96
331,693886,13
332,700509,2
333,702766,6
334,702867,103
335,704038,2
336,704203,2
337,706077,2
338,706775,2
339,707577,104
340,710144,20
341,719913,105
342,748394,105
343,712034,54
344,713782,33
345,715030,1
346,715217,7
347,717667,106
348,717698,6
349,15506469,107
350,15507554,108
351,15507806,109
352,717717,10
353,717722,10
354,717728,10
355,717739,10
356,717746,6
357,718479,23
358,718511,23
359,720167,10
360,720544,6
361,720656,33
362,725244,40
363,725982,55
364,727065,40
365,728476,110
366,732985,1
367,736099,23
368,739227,6
369,741243,111
370,741631,112
371,742502,23
372,743292,113
373,745641,6
374,1048515,6
375,746644,51
376,751725,23
377,751806,32
378,754663,27
379,756329,8
380,757865,4
381,1338212,18
382,3234248,7
383,3536221,7
384,4646989,20
385,5371649,114
386,5833773,36
387,14037237,84
388,15740914,67
389,17518557,9
390,22613661,6
391,23180070,84
392,23761080,48
393,24928241,115
394,25904675,19
395,26814867,2
396,28247037,36
397,28341532,7
398,28695602,54
399,30318762,2
400,30702831,49
401,31302383,18
402,34391784,1
403,34613881,116
404,35145568,55
405,35673248,117
406,39923574,118
407,760499,119
408,760660,40
409,762993,6
410,764915,22
411,766765,120
412,768070,121
413,776285,7
414,785086,10
415,785650,18
416,785822,120
417,786813,26
418,787004,33
419,789789,9
420,791190,10
421,795692,6
422,796929,101
423,797650,2
424,801587,27
425,804869,6
426,804957,2
427,805264,18
428,805293,1
429,807198,122
430,808192,84
431,911602,123
432,925301,84
433,925378,124
434,819462,13
435,18233927,23
436,819589,27
437,820798,1
438,826608,96
439,828063,2
440,828360,2
441,829448,33
442,834220,33
443,834674,7
444,838844,6
445,35343482,20
446,842105,32
447,843529,49
448,844711,27
449,846695,2
450,846806,13
451,845724,1
452,847288,27
453,849989,125
454,850008,54
455,851559,6
456,40244081,15
457,858598,6
458,859059,4
459,862418,2
460,865504,6
461,865779,126
462,869312,1
463,39334901,1
464,869463,2
465,39330519,2
466,869855,1
467,870275,1
468,880865,2
469,882367,33
470,884239,33
471,888141,7
472,896034,40
473,896591,1
474,903287,34
475,906305,1
476,906831,2
477,907042,15
478,919557,2
479,1333791,20
480,920793,23
481,920840,127
482,920862,84
483,920876,124
484,920892,124
485,2869544,84
486,24604290,40
487,922585,1
488,924473,128
489,924662,129
490,925879,126
491,929343,38
492,931101,33
493,933814,40
494,935811,50
495,938797,6
496,942922,55
497,943151,26
498,943550,6
499,1097028,130
500,1103607,6
501,34954675,10
502,35720324,50
503,36271849,50
504,36329096,131
505,36449807,10
506,944662,1
507,944960,84
508,6290807,84
509,29124361,20
510,29561695,84
511,945673,22
512,945691,40
513,950695,132
514,951717,15
515,952748,54
516,952757,2
517,954386,2
518,954965,2
519,958325,133
520,960328,1
521,1138965,1
522,961554,6
523,964003,134
524,970909,135
525,13537442,48
526,13692284,82
527,13693512,136
528,19218913,135
529,26519326,48
530,976954,40
531,980131,40
532,981823,137
533,984260,96
534,985087,48
535,987973,2
536,991370,7
537,41591699,7
538,1006307,33
539,1006534,40
540,1012808,53
541,1013904,112
542,1015159,132
543,1015672,6
544,1015979,37
545,1016061,6
546,1018094,1
547,1036380,15
548,1038192,9
549,1039363,138
550,1048426,10
551,1049659,54
552,1050645,23
553,1052466,1
554,1056297,139
555,1073166,1
556,1090171,140
557,1106913,22
558,1056544,13
559,1069495,27
560,1071344,96
561,1075655,2
562,1085634,1
563,1090014,141
564,1091821,6
565,1092702,33
566,1251223,20
567,15300463,33
568,15420354,142
569,26725629,33
570,31347665,20
571,31348798,20
572,32040414,20
573,1093747,7
574,1095757,78
575,1098546,22
576,1098683,6
577,1100597,20
578,1100687,143
579,1106207,2
580,1106215,10
581,1109704,22
582,1110107,144
583,39333576,111
584,1112596,18
585,1113013,20
586,7233556,20
587,1113142,8
588,1114059,90
589,1114716,6
590,1116885,6
591,1116968,6
592,1117012,14
593,9084125,49
594,1120763,33
595,1124000,28
596,1126009,37
597,1128670,28
598,1129073,20
599,1142938,20
600,1129089,126
601,1134130,67
602,1139151,145
603,1141518,6
604,1143829,54
605,1148064,1
606,1150049,36
607,1150070,33
608,1157887,2
609,1163174,2
610,1167402,2
611,1167624,27
612,1168772,40
613,1168885,61
614,1176269,9
615,1179865,146
616,1185656,3
617,1188173,78
618,1188395,6
619,1190287,10
620,1194273,15
621,1197060,7
622,1197069,3
623,1197772,147
624,1198570,6
625,1199811,36
626,1202634,33
627,1208324,6
628,1208909,36
629,1209286,6
630,1214801,2
631,4019862,6
632,17473011,8
633,36760626,6
634,1215943,18
635,1216731,2
636,18285214,78
637,18621288,49
638,29756045,15
639,1217202,147
640,1218713,26
641,1222023,36
642,1225349,36
643,1229115,6
644,1232734,8
645,1237809,13
646,1241506,40
647,1242711,116
648,1242823,148
649,1246686,6
650,1248575,33
651,1251954,40
652,1254395,98
653,1259541,139
654,1335303,6
655,20098324,6
656,1260940,50
657,1264081,1
658,27981308,15
659,1266604,27
660,1269601,149
661,1272479,2
662,1272722,9
663,1275613,1
664,1277296,39
665,1277431,27
666,1278764,10
667,1280500,150
668,17730951,2
669,1284269,96
670,1298401,2
671,1300113,2
672,1300114,1
673,1309184,111
674,1310810,6
675,7543221,6
676,1315334,22
677,1320023,6
678,1333402,23
679,1333582,1
680,1342712,96
681,1343161,151
682,1343550,9
683,1345185,61
684,1346433,152
685,1526014,153
686,1526112,154
687,2074044,155
688,2076697,156
689,2121807,157
690,25176222,158
691,25199767,152
692,25202422,159
693,39912922,48
694,1350705,10
695,1352297,1
696,1367292,1
697,1367921,14
698,1368336,32
699,1373231,96
700,1374173,96
701,1374395,1
702,1378010,20
703,18585525,20
704,1378048,33
705,1380975,160
706,8513276,160
707,8518909,160
708,8519018,161
709,1390653,13
710,1390783,6
711,1395018,107
712,1398805,23
713,1406437,1
714,1406856,142
715,19501840,162
716,25259385,20
717,1407276,2
718,1409855,10
719,1410856,20
720,1411656,7
721,1412335,36
722,1415628,33
723,1415659,6
724,1424459,112
725,1450580,9
726,1452089,163
727,1464743,68
728,1465696,164
729,1508224,163
730,1452504,2
731,1590999,40
732,1453045,2
733,1458827,48
734,1465212,2
735,1466410,61
736,1469053,6
737,1470914,4
738,1483243,165
739,1484616,4
740,1487586,10
741,1488382,166
742,1492637,1
743,1493384,20
744,1496508,54
745,1496856,2
746,1502992,6
747,24404665,6
748,1503219,1
749,1504160,13
750,1505591,27
751,1506789,2
752,1508078,10
753,1509249,6
754,36105070,167
755,1511480,63
756,1517535,10
757,1522440,17
758,1522441,1
759,1523370,26
760,1525214,1
761,1532889,2
762,1533868,2
763,1538897,15
764,1541393,36
765,1542519,6
766,1549906,2
767,1556071,6
768,13021853,1
769,17237652,14
770,1559475,46
771,1563589,36
772,1564353,40
773,1566640,1
774,1568172,4
775,1572547,78
776,1580765,26
777,1582531,6
778,1590202,9
779,1591355,6
780,1591899,61
781,1593374,2
782,1608229,132
783,21918736,168
784,1616519,27
785,1628119,10
786,1631639,9
787,1632450,10
788,25073369,10
789,1636024,33
790,1646031,92
791,1659471,146
792,1663817,36
793,1670147,169
794,1671410,8
795,1672286,170
796,1675398,33
797,1676645,1
798,1679907,15
799,1683495,109
