street,street_type,zip_code,parish,county,coastal_area
"ROTUNDA JOÃO PAULO II E AVENIDA REI HUMBERTO DE ITÁLIA DENOMINADO ""CONDOMÍNIO CASAS GANDARINHA""",Rua,2750-641,Cascais,Cascais,Coastal Area
"URBANIZAÇÃO VALE DA AZENHA, RUA DOS DESCOBRIMENTOS PORTUGUESES LT",Urbanização,2560-510,Santa Cruz,Torres Vedras,Coastal Area
TRAVESSA CAMINHO DO PINHAL CONDOMÍNIO PARQUE ATLÂNTICO BL G,,2560-051,Praia do Navio,Torres Vedras,Coastal Area
AVENIDA COMISSÃO DE MELHORAMENTOS MIL NOVECENTOS VINTE OITO,,2705-001,Azoia,Sintra,Coastal Area
RUA REI HUMBERTO II DE ITÁLIA CONDOMÍNIO CASAS GANDARINHA,Rua,2750-641,Cascais,Cascais,Coastal Area
RUA MARÉ VIVA CONDOMINIO ATLANTIC GARDENS ED. II BLOCO,Avenida,2750-331,Cascais,Cascais,Coastal Area
AZINHAGA RUA DO MURTAL CASA RIO QUINTA DA PEDRA FURADA,Rua,2765-541,São Pedro do Estoril,Cascais,Coastal Area
AVENIDA MANUEL JÚLIO CARVALHO COSTA EDIFICIO OCEANÁRIO,Avenida,2750-424,Cascais,Cascais,Coastal Area
PÁTIO RUA DAS ESCOLAS GERAIS (PÁTIO DOS QUINTALINHOS,Pátio,1100-213,Lisboa,Lisboa,Coastal Area
1ª RUA DR. ALVARO ANDREA GAVETO DAS RUAS COSTA LOPES,Rua,2560-482,Santa Cruz,Torres Vedras,Coastal Area
"ESTRADA VÁRZEA, CASAL DE S. PEDRO - CAZAL JOSÉ, S/N",Estrada,2710-403,Lourel,Sintra,Coastal Area
RUA EDUARDO FREDERICO DOS SANTOS-COND. OXFORD PARK,Rua,2750-336,Cascais,Cascais,Coastal Area
RUA PROFESSOR DOUTOR MANUEL EUGENIO MACHADO MACEDO,Rua,2765-009,Alto dos Gaios,Cascais,Coastal Area
RUA PROFESSOR DOUTOR MANUEL EUGÉNIO MACHADO MACEDO,Rua,2765-009,Alto dos Gaios,Cascais,Coastal Area
RUA DA BOAVISTA E TRVAVESSA DO MARQUÊS DE SAMPAIO,Rua,1200-245,Lisboa,Lisboa,Coastal Area
RUA JOSÉ FLORINDO DE OLIVEIRA CASINHA DA JOSEFINA,Rua,2750-001,Cascais,Cascais,Coastal Area
URBANIZAÇÃO ALDEAMENTO MOINHOS DO MAR JOINAL LOTE,Urbanização,2655-478,Ericeira,Mafra,Coastal Area
RUA DA BOAVISTA E TRAVESSA DO MARQUÊS DE SAMPAIO,Rua,1200-245,Lisboa,Lisboa,Coastal Area
LARGO POCINHOS - COMPLEXO TURÍSTICO S. SEBASTIÃO,Rua,2655-333,Ericeira,Mafra,Coastal Area
RUA ALTO DO CABEÇO COM AV. NOSSA SRA DA ASSUNÇÃO,Rua,2755-328,Janes,Cascais,Coastal Area
TRAVESSA DO MOINHO MOINTOITO CASAL LABRUSQUE RC,Largo,2530-018,Atalaia,Lourinhã,Coastal Area
RUA COMANDANTE SACADURA CABRAL QUINTA DO BOIÇÃO,,2670-632,Boição,Loures,Not Coastal Area
ESCADINHAS TEIXEIRA OU BECO DA JUDIARIA ARCO DO,Escadinhas,2710-622,Sintra,Sintra,Coastal Area
AVENIDA ENGENHEIRO ANTÓNIO DE AZEVEDO COUTINHO,Avenida,2750-644,Cascais,Cascais,Coastal Area
AVENIDA COMUNIDADES EUROPEIAS EDIFÍCIO EQUADOR,Avenida,2750-660,Cascais,Cascais,Coastal Area
AVENIDA AIDA 353 - COND. ESTORIL GARDEN -BLCO,Avenida,2765-187,Estoril,Cascais,Coastal Area
ESTRADA RIBEIRA CONDOMINIO QUINTA VALE VERDE,Estrada,2645-537,Bicesse,Cascais,Coastal Area
"RUA JOSÉ MÁXIMO DA COSTA, EDIFÍCIO ""A TORRE""",Rua,2530-236,Praia da Areia Branca,Lourinhã,Coastal Area
PRAÇA DOUTOR BERNARDINO ANTÓNIO GOMES (PAI),Largo,1100-209,Lisboa,Lisboa,Coastal Area
1ª TRAVESSA TRV. DO TERREIRO SANTA CATARINA,Travessa,1200-460,Lisboa,Lisboa,Coastal Area
RUA ENGENHEIRO ADELINO AMARO DA COSTA EX LT,Rua,2775-366,Parede,Cascais,Coastal Area
LARGO URB MOINHOS DO MAR FEIRA S. SEBASTIÃO,Largo,2655-364,Ericeira,Mafra,Coastal Area
PRACETA BOMBEIROS VOLUNTÁRIOS DE PAÇO ARCOS,Avenida,2770-161,Paço de Arcos,Oeiras,Coastal Area
RUA VICE ALMIRANTE AUGUSTO DE CASTRO GUEDES,Rua,1800-342,Lisboa,Lisboa,Coastal Area
AVENIDA ALMIRANTE JOÃO DE AZEVEDO COUTINHO,Beco,2775-101,Murtal,Cascais,Coastal Area
RUA MAYER GARÇÃO-CASAL MARIA LUIZA (ANEXO),Rua,2765-539,Areias,Cascais,Coastal Area
ESTRADA DOS CAPUCHOS QUINTA DE STO ANTÓNIO,Estrada,2705-255,Colares,Sintra,Coastal Area
PRACETA BAIRRO DO CASALITO DE SÃO LOURENÇO,Rua,2640-254,Encarnação,Mafra,Coastal Area
RUA PARTICULAR À SEBASTIÃO SARAIVA DE LIMA,Rua,1170-293,Lisboa,Lisboa,Coastal Area
ESCADA ESCADINHAS DO MARQUÊS DE PONTE LIMA,,1100-408,Lisboa,Lisboa,Coastal Area
1ª RUA BR DOS PESCADORES SÃO VICENTE APART,Rua,2655-333,Ericeira,Mafra,Coastal Area
PRAÇA DOUTOR BERNARDINO ANTÓNIO GOMES PAI,Largo,1100-209,Lisboa,Lisboa,Coastal Area
AVENIDA PROFESSOR ARMANDO SANTOS FERREIRA,Avenida,2705-061,Praia das Maçãs,Sintra,Coastal Area
LARGO DOUTOR BERNARDINO ANTÓNIO GOMES PAI,Largo,1149-061,Lisboa,Lisboa,Coastal Area
AVENIDA DOUTOR JOÃO RAUL BRANCO GUERREIRO,Avenida,2705-713,Odrinhas,Sintra,Coastal Area
LARGO DOUTOR BERNARDINO ANTÓNIO GOMES PAI,Largo,1100-209,Lisboa,Lisboa,Coastal Area
RUA DOUTOR ANTÓNIO BRANDÃO DE VASCONCELOS,Rua,2705-089,Azenhas do Mar,Sintra,Coastal Area
1ª RUA MARQUÊS DE VIANA DR. LEÃO OLIVEIRA,Rua,2710-516,São Pedro,Sintra,Coastal Area
RUA ENGENHEIRO DOM ANTÓNIO CASTELO BRANCO,Rua,2750-155,Cascais,Cascais,Coastal Area
RUA CAPITÃO MÁRIO ALBERTO SOARES PIMENTEL,Rua,2710-589,Sintra,Sintra,Coastal Area
1ª RUA AVENIDA DO ULTRAMAR EDIFICIO VIMAR,Avenida,2750-506,Cascais,Cascais,Coastal Area
AVENIDA SABÓIA VILA ALTA VIVENDA BARRADAS,Avenida,2765-277,Monte Estoril,Cascais,Coastal Area
RUA DOUTOR MANUEL ANTÓNIO DA COSTA MATOS,Rua,2750-290,Cascais,Cascais,Coastal Area
AVENIDA ACÁCIAS TORNEANDO COM RUA NAZARÉ,Avenida,2765-389,Monte Estoril,Cascais,Coastal Area
CALÇADA 2ª RUA PARTICULAR À QUINTINHA AA,Calçada,1070-223,Lisboa,Lisboa,Coastal Area
LARGO DO TURISMO EDIF. ALTO VIGIA FRAÇÃO,Praceta,2530-218,Praia da Areia Branca,Lourinhã,Coastal Area
RUA EMIGRANTE-EDIFICIO ATLÂNTICO ALA SUL,Rua,2655-269,Ericeira,Mafra,Coastal Area
RUA PÁTIO DO FERREIRA À CECÍLIO DE SOUSA,Rua,1200-098,Lisboa,Lisboa,Coastal Area
RUA ENGENHEIRO JOÃO AUGUSTO MARCOS SILVA,Rua,2565-321,Freiria,Torres Vedras,Coastal Area
ALDEAMENTO TURÍSTICO DA MALVEIRA GUINCHO,Rua,2645-001,Manique,Cascais,Coastal Area
ESTRADA GUINCHO EM FRENTE AO PUCARO CASA,Estrada,2750-642,Guincho,Cascais,Coastal Area
RUA DOUTOR JOÃO ANTÓNIO GONÇALVES AMARAL,Rua,1885-096,Moscavide,Loures,Coastal Area
RUA DO FERRAGIAL (27) RUA DO CORPO SANTO,Rampa,1200-091,Lisboa,Lisboa,Coastal Area
RUA COMANDANTE JOAQUIM TEOTÓNIO SEGURADO,Rua,2750-779,Cascais,Cascais,Coastal Area
RUA DA EMENDA TRAVESSA GUILHERME COSSOUL,Travessa,1200-010,Lisboa,Lisboa,Coastal Area
RUA QUINTA DE SANTA RITA CHALET PEQUENO,Rua,2765-352,São João do Estoril,Cascais,Coastal Area
SUBIDA DONA MARIA CARMO FRAGOSO CARMONA,Rua,2750-428,Cascais,Cascais,Coastal Area
AVENIDA REPUBLICA RUA D. JOSÉ DE AVILEZ,Rua,2750-398,Cascais,Cascais,Coastal Area
ESTRADA REGIONAL 247 VIVENDA DOS CEDROS,,2640-068,Palhais,Mafra,Coastal Area
AVENIDA COLUMBANO BORDALO PINHEIRO LOTE,Avenida,1070-061,Lisboa,Lisboa,Coastal Area
RUA COTOVIAS CONDOMINIO PARADISE GARDEN,Caminho,2655-481,Ericeira,Mafra,Coastal Area
URBANIZAÇÃO ALDEAMENTO MOINHOS DO MAR-R,Urbanização,2655-478,Ericeira,Mafra,Coastal Area
RUA DOUTOR LUÍS DE ALMEIDA ALBUQUERQUE,Rua,1200-154,Lisboa,Lisboa,Coastal Area
"PRAÇA PÇ. VISCONDESSA DOS OLIVAIS, NºS",Praça,1800-379,Lisboa,Lisboa,Coastal Area
RUA MARIA JULIETA SIMÕES VALÉRIO SILVA,Rua,2640-808,Mafra,Mafra,Coastal Area
AVENIDA MARECHAL FRANCISCO COSTA GOMES,Avenida,1900-457,Lisboa,Lisboa,Coastal Area
AVENIDA ENGENHEIRO ADELINO AMARO COSTA,Avenida,2750-279,Cascais,Cascais,Coastal Area
AVENIDA 1º DE DEZEMBRO VIV. OS PARDAIS,Avenida,2785-071,Tires,Cascais,Coastal Area
