,street,parish,county,host_country,host_continent,membership_duration,count
0,1ª CANADA RUA DO CARDAL,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
1,1ª RUA 18,Barcarena,Oeiras,Portugal,Europe,Member for more than 2 years,1
2,1ª RUA 5 DE OUTUBRO,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,2
3,1ª RUA 5 DE OUTUBRO,Ericeira,Mafra,Germany,Europe,Member for more than 5 years,1
4,1ª RUA 61,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
5,1ª RUA ACTOR ISIDORO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
6,1ª RUA ACTOR ISIDORO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
7,1ª RUA ACTOR TASSO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,3
8,1ª RUA ACTOR TASSO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
9,1ª RUA AFONSO DE ALBUQUERQUE,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,4
10,1ª RUA AFONSO DE ALBUQUERQUE,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,3
11,1ª RUA ALAMEDA DOS OCEANOS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
12,1ª RUA ALBERTO TOTA,Praia das Maçãs,Sintra,Portugal,Europe,Member for more than 2 years,1
13,1ª RUA ALECRIM,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,7
14,1ª RUA ALEXANDRE DE SÁ PINTO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,4
15,1ª RUA ALEXANDRE DE SÁ PINTO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,3
16,1ª RUA ALEXANDRE DE SÁ PINTO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,3
17,1ª RUA ALEXANDRE DE SÁ PINTO,Lisboa,Lisboa,Denmark,Europe,Member for more than 5 years,1
18,1ª RUA ALFREDO DA SILVA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
19,1ª RUA AMADEU SOUSA CARDOSO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,5
20,1ª RUA AMADEU SOUSA CARDOSO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
21,1ª RUA ANDRÉ ALBUQUERQUE,Sintra,Sintra,Portugal,Europe,Member for more than 5 years,1
22,1ª RUA ANGELINA VIDAL,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,10
23,1ª RUA ANGELINA VIDAL,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,3
24,1ª RUA ANGELINA VIDAL,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
25,1ª RUA ANGELINA VIDAL,Lisboa,Lisboa,United Kingdom,Europe,Member for more than 2 years,1
26,1ª RUA ANGELINA VIDAL,Lisboa,Lisboa,Angola,Africa,Member for more than 5 years,1
27,1ª RUA ANGELINA VIDAL,Lisboa,Lisboa,Poland,Europe,Member for more than 2 years,1
