,year,parish,count,cp
0,1967,Queluz,3,2745-377
765,2017,Queluz,1,2745-377
1530,2018,Queluz,4,2745-377
2295,2019,Queluz,3,2745-377
3060,1970,Lisboa,1,1700-921
14533,1985,Lisboa,2,1700-921
26006,2003,Lisboa,2,1700-921
37479,2009,Lisboa,3,1700-921
48952,2010,Lisboa,22,1700-921
60425,2011,Lisboa,5,1700-921
71898,2012,Lisboa,34,1700-921
83371,2013,Lisboa,72,1700-921
94844,2014,Lisboa,294,1700-921
106317,2015,Lisboa,1188,1700-921
117790,2016,Lisboa,1553,1700-921
129263,2017,Lisboa,2706,1700-921
140736,2018,Lisboa,3434,1700-921
152209,2019,Lisboa,679,1700-921
163682,2020,Lisboa,3,1700-921
175155,1986,Praia Grande,1,8400-273
175160,2007,Praia Grande,1,8400-273
175165,2017,Praia Grande,2,8400-273
175170,2018,Praia Grande,1,8400-273
175175,1998,Samarra,3,2705-735
175176,2016,Samarra,1,2705-735
175177,2019,Samarra,1,2705-735
175178,2002,Ericeira,1,2655-504
175618,2005,Ericeira,2,2655-504
176058,2006,Ericeira,1,2655-504
176498,2009,Ericeira,2,2655-504
176938,2011,Ericeira,1,2655-504
177378,2012,Ericeira,6,2655-504
177818,2013,Ericeira,3,2655-504
178258,2014,Ericeira,12,2655-504
178698,2015,Ericeira,35,2655-504
179138,2016,Ericeira,46,2655-504
179578,2017,Ericeira,75,2655-504
180018,2018,Ericeira,72,2655-504
180458,2019,Ericeira,21,2655-504
180898,2005,Ribeira de Ilhas,2,2640-51
180899,2007,Mata Pequena,1,2640-366
180900,2010,Cascais,2,2750-298
181563,2014,Cascais,9,2750-298
182226,2015,Cascais,42,2750-298
182889,2016,Cascais,41,2750-298
183552,2017,Cascais,78,2750-298
184215,2018,Cascais,102,2750-298
184878,2019,Cascais,55,2750-298
185541,2010,Praia da Areia Branca,1,2530-241
185594,2012,Praia da Areia Branca,2,2530-241
185647,2013,Praia da Areia Branca,2,2530-241
185700,2014,Praia da Areia Branca,1,2530-241
185753,2015,Praia da Areia Branca,1,2530-241
185806,2016,Praia da Areia Branca,3,2530-241
185859,2017,Praia da Areia Branca,2,2530-241
185912,2018,Praia da Areia Branca,12,2530-241
185965,2019,Praia da Areia Branca,2,2530-241
186018,2010,Praia das Maçãs,1,2705-128
186113,2012,Praia das Maçãs,6,2705-128
186208,2014,Praia das Maçãs,1,2705-128
186303,2015,Praia das Maçãs,3,2705-128
186398,2016,Praia das Maçãs,2,2705-128
186493,2017,Praia das Maçãs,5,2705-128
186588,2018,Praia das Maçãs,5,2705-128
186683,2019,Praia das Maçãs,6,2705-128
186778,2010,Gouveia,1,5350-262
186946,2014,Gouveia,2,5350-262
187114,2016,Gouveia,1,5350-262
187282,2018,Gouveia,1,5350-262
187450,2010,Galamares,1,2710-227
187513,2015,Galamares,2,2710-227
187576,2016,Galamares,1,2710-227
187639,2017,Galamares,2,2710-227
187702,2018,Galamares,3,2710-227
187765,2010,Malveira da Serra,1,2755-148
187866,2015,Malveira da Serra,2,2755-148
187967,2018,Malveira da Serra,6,2755-148
188068,2019,Malveira da Serra,1,2755-148
188169,2010,Almoçageme,1,2705-335
188268,2014,Almoçageme,1,2705-335
188367,2016,Almoçageme,2,2705-335
188466,2017,Almoçageme,9,2705-335
188565,2018,Almoçageme,5,2705-335
188664,2019,Almoçageme,2,2705-335
188763,2010,Sintra,1,4820-635
189244,2012,Sintra,1,4820-635
189725,2013,Sintra,1,4820-635
190206,2014,Sintra,10,4820-635
190687,2015,Sintra,13,4820-635
191168,2016,Sintra,28,4820-635
191649,2017,Sintra,67,4820-635
192130,2018,Sintra,33,4820-635
192611,2019,Sintra,8,4820-635
193092,2010,Colares,1,2705-347
193161,2015,Colares,1,2705-347
193230,2016,Colares,4,2705-347
193299,2017,Colares,4,2705-347
193368,2018,Colares,3,2705-347
193437,2019,Colares,2,2705-347
193506,2011,Penedo,1,4550-876
193664,2014,Penedo,3,4550-876
193822,2016,Penedo,3,4550-876
193980,2017,Penedo,4,4550-876
194138,2011,Montoito,2,7200-53
194140,2016,Montoito,1,7200-53
194142,2018,Montoito,1,7200-53
194144,2011,Terrugem,1,2770-184
194439,2016,Terrugem,1,2770-184
194734,2017,Terrugem,2,2770-184
195029,2018,Terrugem,2,2770-184
195324,2019,Terrugem,3,2770-184
195619,2012,Ribamar,1,2530-645
195802,2015,Ribamar,2,2530-645
195985,2016,Ribamar,5,2530-645
196168,2017,Ribamar,16,2530-645
196351,2018,Ribamar,4,2530-645
196534,2019,Ribamar,2,2530-645
196717,2012,Fontanelas,1,2705-629
196828,2017,Fontanelas,1,2705-629
196939,2018,Fontanelas,1,2705-629
197050,2019,Fontanelas,1,2705-629
197161,2012,Pinhal da Nazaré,1,2705-235
