,year,parish,count,property_type_category,cp
0,1967,Queluz,3,Apartment,2745-377
765,2017,Queluz,1,Apartment,2745-377
1530,2018,Queluz,4,Apartment,2745-377
2295,2019,Queluz,3,Apartment,2745-377
3060,1970,Lisboa,1,Apartment,1700-921
14533,1985,Lisboa,2,Apartment,1700-921
26006,2003,Lisboa,1,Apartment,1700-921
37479,2003,Lisboa,1,Hotel/Hostel,1700-921
48952,2009,Lisboa,3,Apartment,1700-921
60425,2010,Lisboa,12,Apartment,1700-921
71898,2010,Lisboa,2,Guesthouse,1700-921
83371,2010,Lisboa,6,Hotel/Hostel,1700-921
94844,2010,Lisboa,2,House,1700-921
106317,2011,Lisboa,5,Apartment,1700-921
117790,2012,Lisboa,33,Apartment,1700-921
129263,2012,Lisboa,1,House,1700-921
140736,2013,Lisboa,60,Apartment,1700-921
152209,2013,Lisboa,1,Guesthouse,1700-921
163682,2013,Lisboa,7,Hotel/Hostel,1700-921
175155,2013,Lisboa,4,House,1700-921
186628,2014,Lisboa,273,Apartment,1700-921
198101,2014,Lisboa,1,Guesthouse,1700-921
209574,2014,Lisboa,8,Hotel/Hostel,1700-921
221047,2014,Lisboa,12,House,1700-921
232520,2015,Lisboa,1140,Apartment,1700-921
243993,2015,Lisboa,4,Guesthouse,1700-921
255466,2015,Lisboa,27,Hotel/Hostel,1700-921
266939,2015,Lisboa,17,House,1700-921
278412,2016,Lisboa,1469,Apartment,1700-921
289885,2016,Lisboa,30,Guesthouse,1700-921
301358,2016,Lisboa,20,Hotel/Hostel,1700-921
312831,2016,Lisboa,34,House,1700-921
324304,2017,Lisboa,2604,Apartment,1700-921
335777,2017,Lisboa,29,Guesthouse,1700-921
347250,2017,Lisboa,28,Hotel/Hostel,1700-921
358723,2017,Lisboa,45,House,1700-921
370196,2018,Lisboa,3305,Apartment,1700-921
381669,2018,Lisboa,37,Guesthouse,1700-921
393142,2018,Lisboa,31,Hotel/Hostel,1700-921
404615,2018,Lisboa,61,House,1700-921
416088,2019,Lisboa,649,Apartment,1700-921
427561,2019,Lisboa,10,Guesthouse,1700-921
439034,2019,Lisboa,6,Hotel/Hostel,1700-921
450507,2019,Lisboa,14,House,1700-921
461980,2020,Lisboa,3,Apartment,1700-921
473453,1986,Praia Grande,1,House,8400-273
473458,2007,Praia Grande,1,House,8400-273
473463,2017,Praia Grande,2,House,8400-273
473468,2018,Praia Grande,1,House,8400-273
473473,1998,Samarra,3,House,2705-735
473474,2016,Samarra,1,House,2705-735
473475,2019,Samarra,1,Apartment,2705-735
473476,2002,Ericeira,1,Apartment,2655-504
473916,2005,Ericeira,1,Apartment,2655-504
474356,2005,Ericeira,1,House,2655-504
474796,2006,Ericeira,1,House,2655-504
475236,2009,Ericeira,2,House,2655-504
475676,2011,Ericeira,1,Hotel/Hostel,2655-504
476116,2012,Ericeira,5,Hotel/Hostel,2655-504
476556,2012,Ericeira,1,House,2655-504
476996,2013,Ericeira,3,House,2655-504
477436,2014,Ericeira,6,Apartment,2655-504
477876,2014,Ericeira,6,House,2655-504
